,Text of Tweet,# of Likes,# of Retweets,Date Tweeted,User,Sentiment of the Tweet,# of Media Items in Tweet
0,"Thrilled to be part of this panel with reseaechers, end-users &amp; stakeholders on @Discrimination and @vulnerabilities under @covid-19, discussing findings from our ongoing European research projects at @ces_uc:  @ChildhoodAnd and @LGBTQILives https://t.co/b8Z2S5d6wg",0,0,Thu Sep 24 12:21:55 +0000 2020,Ana Cristina Santos,positive,1
1,"@WashingtonLife @Aslin_BeerCo @NBWA @corona @vizzyseltzer @GooseIsland Ah, Trite... best beer in the DC area. Hey @Aslin_BeerCo, when is it coming back?",0,0,Thu Sep 24 11:55:09 +0000 2020,quana2,positive,None
2,you need to pack your bags and leave bitch @corona so zayn and louis can have their bike ride.,1,0,Thu Sep 24 11:37:24 +0000 2020,aileen⁷,neutral,None
3,@LilNasX @corona bruh,0,0,Thu Sep 24 11:36:22 +0000 2020,big chungus,neutral,None
4,@LilNasX @bre___xoxo @corona my man sayin it like he tryna say “swiper no swipin”,0,0,Thu Sep 24 11:36:14 +0000 2020,Kingalphamiami,neutral,None
5,@tibro_ @covid Le covid: https://t.co/yNq21x2rQW,0,0,Thu Sep 24 11:34:52 +0000 2020,ELIAS🐝🌆ᶠᶜ ᵖᵛⁿᶜʰ,neutral,1
6,It's clear that @Covid_19 incidence and deaths are rising at an alarming rate. Wake up! https://t.co/oBvFhnkCsn,0,0,Thu Sep 24 11:23:33 +0000 2020,Ted Lehmann,positive,1
7,@Crxqed @corona for proof btw lol https://t.co/28M7YHz1Z4,0,0,Thu Sep 24 10:55:16 +0000 2020,Corni Unic,positive,1
8,@Crxqed @corona the whole world is friends with it at this point,0,0,Thu Sep 24 10:55:02 +0000 2020,Corni Unic,positive,None
9,"@Nike The is not acceptable. @JaiCyclops and I, have been rigorously waiting for a pair of shoes, totally different from one another’s, and have not received them yet. We have to twin and you ain’t letting us do that, and same goes for you @corona. This needed to be put out here",0,0,Thu Sep 24 10:49:36 +0000 2020,Bhavya Vij,neutral,None
10,"@michaelthups @LilNasX @corona Go say that to my friend, a nice old man that WENT TO CHURCH, who died with COVID-19 complications 4 months ago :)",0,0,Thu Sep 24 10:28:18 +0000 2020,Jay,positive,None
11,"@michaelthups @BaAndABoAndABei @LilNasX @corona Go to his grave, you'll see bones",0,0,Thu Sep 24 10:26:39 +0000 2020,Jay,neutral,None
12,"@trueprizelol @BaAndABoAndABei @michaelthups @LilNasX @corona Just go to his grave, you'll see bones",0,0,Thu Sep 24 10:26:18 +0000 2020,Jay,neutral,None
13,"Hopefully this is one more attempt to distract from this coronavirus nightmare.  He particularly wants to distract his base, as that base experiences @COVID, having followed @Trump's anti-mask, pro-crowding wishes. Many of his supporters are ill with the virus: some have died.",0,0,Thu Sep 24 10:26:03 +0000 2020,BarbaraBuon,negative,None
14,@corona FIGHT FIRE WITH FIRE! https://t.co/okkZG925vC,0,0,Thu Sep 24 10:24:50 +0000 2020,Helena Torry - The Political #Indyref2 Mannequin,neutral,1
15,"If @corona can go from being a drink to a global phenomenon, you too can turn your life the other way round",1,0,Thu Sep 24 09:42:20 +0000 2020,ARYENDRA,negative,None
16,"Two @SuperLeague players test positive for @Covid-19 

@WarringtonRLFC host @DragonsOfficiel on Friday, with all games in this round taking place at the HJ Stadium

#coronavirusuk #COVID19 

| https://t.co/fyGlFuxhVr",1,1,Thu Sep 24 09:19:43 +0000 2020,Warrington Sport,positive,None
17,"@jjeanmeansit @Scouse_ma @covid 15th my daughter got tested still no results, rang them up and they said as its been 10 days shes sound to go back to school, top rated test and trace system we have",2,0,Thu Sep 24 09:12:47 +0000 2020,svenno17,positive,None
18,"@Scouse_ma @covid It is taking days for test results to come back.... children off with coughs waiting nearly a week so far, but money talks. Professional footballers get their’s turned round in the labs immediately.And Eton can afford to test all pupils, so their parents can grouse shoot safely",12,3,Thu Sep 24 08:53:30 +0000 2020,HiJean,positive,None
19,@BorisJohnson Why don't you make it LAW to wear a face mask outside as soon as you step out your home @covid-19 @facemask @savelives,0,0,Thu Sep 24 08:35:48 +0000 2020,Paul Kinnock,neutral,None
20,"Widamin-B....For faster recovery in nerve disorders and general vitamin deficiency
https://t.co/WUIRafWyyo
@healthy @motivation @fit @lifestyle
@nutrition @training @covid @life @instagood
@healthyliving @food @diet @selfcare @coronavirus
@yoga https://t.co/2g5zZYoGn2",0,0,Thu Sep 24 08:30:02 +0000 2020,Widmen Healthcare,positive,1
21,"𝗪𝗲 𝗽𝗿𝗼𝘃𝗶𝗱𝗲 𝗗𝗶𝘀𝗶𝗻𝗳𝗲𝗰𝘁𝗮𝗻𝘁 𝗦𝗲𝗿𝘃𝗶𝗰𝗲𝘀 𝗳𝗼𝗿 𝗰𝗼𝗺𝗺𝗲𝗿𝗰𝗶𝗮𝗹 𝗽𝗿𝗼𝗽𝗲𝗿𝘁𝗶𝗲𝘀 𝗹𝗶𝗸𝗲 - 𝗢𝗳𝗳𝗶𝗰𝗲𝘀, 𝗦𝗰𝗵𝗼𝗼𝗹𝘀 𝗘𝘁𝗰.
𝗙𝗼𝗿 𝗺𝗼𝗿𝗲;
📞:- 𝟵𝟰𝟱𝟯𝟬𝟬𝟭𝟭𝟲𝟲
🌐:- 𝘄𝘄𝘄.𝘀𝗮𝗸𝘀𝗵𝗮𝗺𝘀𝗲𝗿𝘃𝗶𝗰𝗲𝘀.𝗰𝗼𝗺
#disinfectant @COVID https://t.co/0mUjzcDoPE",1,0,Thu Sep 24 07:20:37 +0000 2020,Saksham Services,neutral,1
22,@Scouse_ma @covid I got a phone call to collect mine at 14:57 Tuesday because the last 15 minutes of school would of made all the difference 🤷‍♀️ same school as you I believe x,0,0,Thu Sep 24 07:19:04 +0000 2020,jo,neutral,None
23,"Somali women Observed all the Rules of preventing @Covid-19 while they are farming.
@FAOSomalia
@DrTedros https://t.co/Llki3QjBJZ",0,0,Thu Sep 24 06:52:10 +0000 2020,Ali Dugane,neutral,1
24,@doctorjen9 @JAMAInternalMed @JAMANetwork @doctorjen9 right. We are fully inundated with phone calls answering @covid queries and providing @medical certs. We could barely managed to give @influenza vaccination. Waiting for winter @chronic diseases and then @cervical @breast @cancer wave. Don’t want to think @indemnity!,0,0,Thu Sep 24 06:27:22 +0000 2020,DocOnScreen,positive,None
25,"@Pandemic of love! Here it is! #Nenjaluthakaari the first official lyrical video of the 🎞️ @Actor_Mahendran #NammaOorukuEnnadhanAchu A breezy romantic no. from #SrikanthDeva 

▶️ https://t.co/yTiHyTF1Gx

#NOEA  #PookadaiGSettu @gsarts_3 @urkumaresanpro @MangoMusicTamil",6,3,Thu Sep 24 06:04:46 +0000 2020,G5MEDIA,positive,None
26,"@RTUSPresident #DonaldTrump says may block stricter FDA guidelines for @coronavirus vaccine
US President #Donald Trump has said that he may or may not approve any new, more stringent FDA standards for an emergency authorisation of a @Covid-19 vaccine, https://t.co/TGnKtlacXD",1,0,Thu Sep 24 06:04:11 +0000 2020,Kàrthikeya,positive,1
27,@DrLeoRebello @corona Right,0,0,Thu Sep 24 03:42:23 +0000 2020,Iqbalhusen Bokda,positive,None
28,Hi @corona wondering why you have @SnoopDogg as your spokesperson. Are you aware that in one of his videos he acts out assassinating the President of the USA? https://t.co/EHVCAQWxPO.… https://t.co/rTj1AruAbS,0,1,Thu Sep 24 02:56:16 +0000 2020,Barry Jacobsen,positive,None
29,"@_GAKR @norcalbooknerd @carterforva @corona just realized that its a 12 pack because of course it is, the 12 put it there after all",5,0,Thu Sep 24 02:20:27 +0000 2020,💥Gender Reveal Arson🔻BLM,neutral,None
30,@norcalbooknerd @carterforva Using @corona bottles for them? The 12 really are messing with us now.,5,0,Thu Sep 24 02:07:57 +0000 2020,Final sprint: SIX DAYS left to #GetOutTheCensus!,positive,None
31,@_thehispanic @corona Any word? My wife is going nuts!,0,0,Thu Sep 24 01:39:11 +0000 2020,Spike Nolan,neutral,None
32,Hey @corona can you make a Corona Light Tall Boy?,1,0,Thu Sep 24 00:43:02 +0000 2020,C h r i s t o p h e r,positive,None
33,"Is @realDonaldTrump wearing black tonight to try to look thinner, or to mourn the passing of @TrumpSuppporters who died from @COVID?",0,0,Thu Sep 24 00:00:00 +0000 2020,BarbaraBuon,negative,None
34,"IMHO #QuestDiagnostics is the worst lab for blood tests! 

I filled complaint with @QuestDX 10 days ago because they were rude, abusive &amp; unprofessional &amp; they violated @Covid-19 safety regulations. Was told Rhamel Graham or Joe Gargiulo would call me promptly, I am still waiting",0,0,Wed Sep 23 23:49:56 +0000 2020,News & Quotes,negative,None
35,"Hey @corona stop! 🤚

Or I'll have to intervene😈",1,0,Wed Sep 23 23:40:45 +0000 2020,🩸𝐃𝐚𝐫𝐤.𝐒𝐤𝐢𝐧.𝐌𝐨𝐝𝐞,neutral,None
36,@LilNasX @corona They just tryna make liquor 😂,0,0,Wed Sep 23 23:39:32 +0000 2020,KM🔌,neutral,None
37,@corona @Clehunnigan please..let us be free,0,0,Wed Sep 23 23:30:54 +0000 2020,go away,positive,None
38,Stop including Black Cherry in hard seltzer variety packs. Nobody likes Black Cherry. Okay? @WhiteClaw @BONVIVSeltzer @trulyseltzer @budlight @corona,0,0,Wed Sep 23 23:29:36 +0000 2020,Victoria🌹,negative,None
39,"🚨 The #MNTwins should want to play *THIS* team in the playoffs... 🚨

– @Dexstweets is a Couple Seltzers In powered by @Corona Hard Seltzer. https://t.co/1AtvCZIoGE",15,1,Wed Sep 23 23:29:00 +0000 2020,SKOR North,negative,1
40,@kockrat @michaelthups @BaAndABoAndABei @LilNasX @corona god looking at his likes rn https://t.co/5r0VkcvZDD,0,0,Wed Sep 23 23:25:07 +0000 2020,Skit 🍵,neutral,1
41,@CordiliaJames loved your @WSJ article “make new friends?”  @usta is a great organization to meet new friends through tennis! I did just that during @Covid-19! @Tennis 🎾🎾🎾,2,0,Wed Sep 23 23:21:29 +0000 2020,Ivy Brown,positive,None
42,@michaelthups @SkitteaScope @BaAndABoAndABei @LilNasX @corona I bet you made god proud When commenting that,1,0,Wed Sep 23 23:09:17 +0000 2020,kockrat,positive,None
43,@michaelthups @LilNasX @corona Yes this isn’t a cure,0,0,Wed Sep 23 22:03:35 +0000 2020,مهدي,neutral,None
44,@SkyNews Is the cure for @COVID worse than the Virus? https://t.co/mE5Q4i0rwo,2,1,Wed Sep 23 21:56:17 +0000 2020,#OnlyForTheTape #MauriceMcCabe was BURIED,negative,None
45,@covid get the racists plz,0,0,Wed Sep 23 21:39:18 +0000 2020,King Cuddie,neutral,None
46,"@okbuddd @michaelthups @LilNasX @corona 😂 I’m saying there isn’t a cure for it, only a vaccine but yes wear a jacket and just be smart during flu season is all it takes",0,0,Wed Sep 23 21:06:34 +0000 2020,Jesse Gould,positive,None
47,@SnoopDogg is gonna save @corona . Dope commercial,0,0,Wed Sep 23 21:05:33 +0000 2020,amateur-masiah,neutral,None
48,@mehdi_benziane @LilNasX @corona The vaccine?,0,0,Wed Sep 23 20:52:26 +0000 2020,Jesus Is King 👑,neutral,None
49,@michaelthups @LilNasX @corona It is not a poison there isn’t a « cure » but I guess you never studied in your entire life,0,0,Wed Sep 23 20:45:57 +0000 2020,مهدي,neutral,None
50,"The vaccine against @COVID developed by the multinational company Janssen has started to be widely tested in the USA on about 60,000 volunteer. 
This is the last test before its final approval, if it proves to be effective and safe. https://t.co/eCntW3UIf7",1,0,Wed Sep 23 20:34:40 +0000 2020,Daniel Buda,positive,1
51,@rjceo0 @Corona California Fashion Island and shopping is fun it’s all from a China anyway...go to Market St DE. It’s Fabulous.,1,1,Wed Sep 23 20:21:51 +0000 2020,FaithBrewerGold,positive,None
52,"@Salon apparently now has a @COVID clairvoyant on staff with insight into how things will lag in the future - despite not being able to accurately represent @Project_Veritas’s past.

How prototypically #Progressive.

Even Doc Brown’s flux capacitor wouldn’t take on that one. https://t.co/qeqzUnfxEZ",0,0,Wed Sep 23 20:03:59 +0000 2020,Percy,positive,None
53,All my homies hate @corona,3,0,Wed Sep 23 20:01:30 +0000 2020,Nolan Kreipe,negative,None
54,@corona stop🥺,5,1,Wed Sep 23 19:30:28 +0000 2020,𝐑𝐢𝐯𝐞𝐫𝐬💎,neutral,None
55,"@Scouse_ma @covid My sons been home over a week, back tomorrow and tonight has developed a cough! FFS🙄",0,0,Wed Sep 23 19:24:13 +0000 2020,Mary quite contrary 🌹,positive,None
56,"@michaelthups @BaAndABoAndABei @LilNasX @corona I thought it came from a bat, how are bats men, I guess they legal enough then",0,0,Wed Sep 23 19:14:58 +0000 2020,Duke The Nootable 👑,positive,None
57,@HUDIIBRAH @LilNasX @corona Good,0,0,Wed Sep 23 18:59:40 +0000 2020,Jesus Is King 👑,positive,None
58,"Give a twist to your week! Watch your movie tonight with a cold @corona

#clff36 #festivalvirtual #festivaldecine #happeningnow #sponsor #goldsponsor #coronabeer #cervezacorona #miercolesdecervezas #movieandbeer #cinelatino https://t.co/vHG0GTrVX3",0,0,Wed Sep 23 18:59:40 +0000 2020,ChicagoLatinoFilmFestival,negative,1
